Datetime;T_set_Bathroom;T_set_Room3;T_set_Room1;T_set_Room2;T_set_Kitchen;T_set_Dining;T_set_Living;T_m_ext;T_m_water;T_m_ground_post;Irradiation;Occupancy;switch_Bathroom;switch_Room3;switch_Room1;switch_Room2;switch_Kitchen;switch_Dining;switch_Living;T_m_Kitchen;T_m_Dining;T_m_Living;T_m_Room1;T_m_Bathroom;T_m_Room2;T_m_Room3
2021-02-26 22:00:00+00:00;16.0;16.0;16.0;16.0;16.0;16.0;16.0;5.0;32.333333333333336;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.393904748462717;17.916828924850506;17.713912990200583;17.678174375207334;16.859075384488165;18.368934658389435;17.314789155233598
2021-02-26 22:15:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;5.0;31.66666666666667;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.28556811803975;17.811573093974573;17.52170535939672;17.64936303440828;16.782215244178246;18.248750817688574;17.23160362491103
2021-02-26 22:30:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;5.0;31.0;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.17812150142123;17.708765198498043;17.34248913651703;17.617112805333534;16.703574334275686;18.13144023218075;17.14342698381438
2021-02-26 22:45:00+00:00;16.0;15.0;15.0;15.0;16.0;16.0;16.0;5.0;29.66666666666667;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.071739141221542;17.608291744051144;17.17473700179636;17.581669585334737;16.623112103555968;18.016933083319316;17.051498555810667
2021-02-26 23:00:00+00:00;16.666666666666668;16.333333333333332;16.333333333333332;16.333333333333332;16.0;16.0;16.0;4.0;28.33333333333333;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.962842694735627;17.507261849030954;17.005567912155243;17.539122201397106;16.520196072967735;17.899588798983302;16.9470701649106
2021-02-26 23:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;38.66666666666666;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.85523722374427;17.408087419360413;16.846071702819472;17.493768536922744;16.42003929665583;17.784506739515336;16.84062192110565
2021-02-26 23:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;33.666666666666664;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.748988059508292;17.310754309232664;16.695188225093773;17.44582406549648;16.321467520511874;17.671517536937642;16.732959384764854
2021-02-26 23:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;41.0;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.644151434222067;17.2152377673018;16.55201013136258;17.395483008393853;16.22389841248895;17.560478009075553;16.62471754546698
2021-02-27 00:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;35.0;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.54077182120227;17.121506002769536;16.41575238605094;17.3429276819503;16.127073056352515;17.451265337449513;16.516399408978543
2021-02-27 00:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;4.0;36.66666666666666;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.438881988801313;17.029523788933034;16.28573361585859;17.28832896928685;16.030908540362702;17.343773560002205;16.408404169548533
